dataset,dataset_label,model,model_short,fingerprint,protocol,inner_mean,inner_std,train_mean,train_std,test_mean,test_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,model_order,fingerprint_order,protocol_order,dataset_order
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,0.30723503529600277,0.04807832627420272,0.4093,0.08539016336791963,0.05593333333333333,0.03330260250090574,0.2513017019626695,0.0790709441675927,0.35336666666666666,0.11079523154600714,0,0,1,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,0.1794338220699275,0.0498814666763054,0.3445666666666667,0.08885124272250405,0.07776666666666666,0.06264473907147618,0.10166715540326084,0.11131739131773612,0.2668,0.15148874545655197,0,1,0,1
hiv,HIV,Decision Tree,DT,MACCS,Random shuffle,0.30183850737232626,0.03946667032794986,0.5145000000000001,0.020005249311118304,0.06233333333333333,0.033351511709866055,0.23950517403899294,0.0727931525499752,0.45216666666666666,0.01356330834764635,0,1,1,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,0.12846400696859225,0.03275308381210923,0.45343333333333335,0.06611658894206004,0.057666666666666665,0.02408844813044903,0.07079734030192558,0.05577917135743718,0.39576666666666666,0.08931172002225314,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,0.40948726909708016,0.07610533863994537,0.5997333333333333,0.059404741673820344,0.07136666666666668,0.03754681522224399,0.33812060243041353,0.11306337010602244,0.5283666666666667,0.09439969985827985,1,0,1,1
hiv,HIV,Logistic Regression,LR,MACCS,OOD holdout,0.17530824783159482,0.06368727433722553,0.22813333333333333,0.071268108809855,0.11286666666666667,0.07750356981025669,0.06244158116492815,0.13757452513031954,0.11526666666666667,0.12229784680579349,1,1,0,1
hiv,HIV,Logistic Regression,LR,MACCS,Random shuffle,0.3072114618080785,0.04582465522369148,0.3629,0.03732733582778174,0.09976666666666667,0.05883717645616022,0.20744479514141181,0.10291928899010505,0.2631333333333334,0.09131650088200563,1,1,1,1
hiv,HIV,Logistic Regression,LR,RDKit desc,OOD holdout,0.17206213677547053,0.04764507564677577,0.42383333333333334,0.08415606533894826,0.08850000000000001,0.047301268481933965,0.08356213677547049,0.022093280466462663,0.3353333333333333,0.11518686267684058,1,2,0,1
hiv,HIV,Logistic Regression,LR,RDKit desc,Random shuffle,0.3502056893028582,0.07782945205054034,0.4320333333333333,0.0612891779463009,0.11376666666666667,0.06648137583814986,0.23643902263619157,0.1420631209759633,0.31826666666666664,0.1277153214510042,1,2,1,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,0.09821349546275825,0.017833700330294345,0.6038,0.053580873453126884,0.053233333333333334,0.01982178935750588,0.044980162129424905,0.02945224299693888,0.5505666666666668,0.033771338933085454,2,0,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,0.3739949667159894,0.08271803946807635,0.5875333333333334,0.08290846358082717,0.05776666666666667,0.02926317367158479,0.31622830004932273,0.10944226044970122,0.5297666666666667,0.11126550828236631,2,0,1,1
hiv,HIV,Linear SVM,SVM,MACCS,OOD holdout,0.1629549439230761,0.05802153168989671,0.24596666666666667,0.0391634183050118,0.10343333333333334,0.05317276871983754,0.05952161058974276,0.09307454766518815,0.14253333333333332,0.08705000478652102,2,1,0,1
hiv,HIV,Linear SVM,SVM,MACCS,Random shuffle,0.2321095378934772,0.07594724052111032,0.2533,0.04222274268685066,0.10373333333333334,0.052120757221411636,0.12837620456014384,0.1273084406957623,0.14956666666666665,0.09358404422407343,2,1,1,1
kdr,KDR,Decision Tree,DT,ECFP4,OOD holdout,0.8502903680806804,0.05925447302952828,0.8410666666666667,0.24526810500620203,0.9423,0.031077162032592434,-0.09200963191931966,0.0582977324870948,-0.10123333333333336,0.24797020654371632,0,0,0,2
kdr,KDR,Decision Tree,DT,ECFP4,Random shuffle,0.7460878560579137,0.3826667438315232,0.8371666666666666,0.22524347567317757,0.6122333333333333,0.10411418411212442,0.13385452272458043,0.47974781783131043,0.22493333333333335,0.3202255663330668,0,0,1,2
kdr,KDR,Decision Tree,DT,MACCS,OOD holdout,0.8503250306969142,0.03309714048058555,0.8512,0.24214202444020327,0.9456333333333333,0.008938866445659279,-0.09530830263641905,0.036851748486423405,-0.09443333333333333,0.24807217363770032,0,1,0,2
kdr,KDR,Decision Tree,DT,MACCS,Random shuffle,0.7299619601678158,0.3856676732845221,0.7988666666666667,0.3245575501098894,0.6199333333333333,0.07870713648287128,0.11002862683448252,0.45054365887358966,0.1789333333333333,0.3901868825746624,0,1,1,2
kdr,KDR,Logistic Regression,LR,ECFP4,OOD holdout,0.8676427568614616,0.05211456216453757,0.8698,0.2087414668914636,0.9563,0.010875201147565029,-0.08865724313853829,0.06291938346545325,-0.08649999999999998,0.21884508219286078,1,0,0,2
kdr,KDR,Logistic Regression,LR,ECFP4,Random shuffle,0.7559419765905334,0.38499087668444343,0.9521000000000001,0.06714246048515052,0.6469,0.07276805617851825,0.10904197659053345,0.44751368262863056,0.3052,0.13420760038090235,1,0,1,2
kdr,KDR,Logistic Regression,LR,MACCS,OOD holdout,0.7872918971419732,0.05389311673509749,0.6961666666666666,0.41968643453575355,0.8431000000000001,0.037375928082122575,-0.05580810285802673,0.0852433987182883,-0.14693333333333333,0.45602901588970557,1,1,0,2
kdr,KDR,Logistic Regression,LR,MACCS,Random shuffle,0.7204386671230362,0.4157395146008164,0.7648666666666667,0.36581110334889144,0.6046,0.12046572126542883,0.11583866712303618,0.5360027964165938,0.1602666666666667,0.48591790801876533,1,1,1,2
kdr,KDR,Logistic Regression,LR,RDKit desc,OOD holdout,0.8073194665704545,0.04402683118441589,0.7336,0.38451708674647994,0.8775666666666666,0.02945001414827056,-0.07024720009621221,0.062300742303997056,-0.1439666666666667,0.4098441939729454,1,2,0,2
kdr,KDR,Logistic Regression,LR,RDKit desc,Random shuffle,0.7521243348694228,0.35474906688108515,0.9158666666666667,0.11415797533827123,0.6389333333333334,0.09836932109826382,0.11319100153608935,0.4506912112072424,0.2769333333333333,0.21044325442582698,1,2,1,2
kdr,KDR,Linear SVM,SVM,ECFP4,OOD holdout,0.8681657373558181,0.04548135875276158,0.8513000000000001,0.22531784216967815,0.9440333333333334,0.009346835471609279,-0.0758675959775152,0.05477136406014641,-0.09273333333333329,0.2346048237639911,2,0,0,2
kdr,KDR,Linear SVM,SVM,ECFP4,Random shuffle,0.7422082530287448,0.3969625893871528,0.8667666666666666,0.20695497900107002,0.6005,0.10741457070621287,0.14170825302874482,0.5038630434418842,0.26626666666666665,0.31360510731385316,2,0,1,2
kdr,KDR,Linear SVM,SVM,MACCS,OOD holdout,0.7848945056237332,0.051710940976751246,0.7149333333333333,0.367349769747217,0.8339,0.03709595665298308,-0.04900549437626667,0.07993971816185758,-0.11896666666666667,0.4013493033921117,2,1,0,2
kdr,KDR,Linear SVM,SVM,MACCS,Random shuffle,0.7180280470193744,0.4137052794268469,0.7564666666666667,0.37684840895688193,0.5977333333333333,0.13096642063266953,0.12029471368604099,0.5440173747979611,0.1587333333333333,0.5075198255569268,2,1,1,2
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,0.3803910816969205,0.00938379571227388,0.6789,0.09315487104816356,0.3037666666666667,0.012890435730933738,0.07662441503025384,0.00358851075612431,0.3751333333333333,0.10604255435122883,0,0,0,3
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,0.38297416974603643,0.03734676428279377,0.7182,0.09875165821392573,0.30346666666666666,0.03823301365748366,0.07950750307936975,0.06315119487124556,0.41473333333333334,0.12815757228245755,0,0,1,3
sol,Sol,Decision Tree,DT,MACCS,OOD holdout,0.38949512879636344,0.00792062828165259,0.4958,0.04480993193478426,0.33263333333333334,0.016469466698510116,0.05686179546303013,0.020625029733783943,0.16316666666666668,0.05959734334123737,0,1,0,3
sol,Sol,Decision Tree,DT,MACCS,Random shuffle,0.4434047981212328,0.03249589787188314,0.6248,0.08174295076641168,0.3158,0.04175008982026267,0.12760479812123274,0.043038291585190215,0.309,0.10001539881438257,0,1,1,3
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,0.5024492645145852,0.03454021495929662,0.8303666666666666,0.12473821921661915,0.4777666666666667,0.04934372638272603,0.02468259784791847,0.0833377292311704,0.35259999999999997,0.16688328256598978,1,0,0,3
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,0.5813572884259328,0.020213535028835997,0.8714333333333334,0.03455001205981463,0.4915333333333333,0.04409244077314539,0.0898239550925995,0.056435713013149605,0.37989999999999996,0.07784368953229287,1,0,1,3
sol,Sol,Logistic Regression,LR,MACCS,OOD holdout,0.4868473931349176,0.014463268847476911,0.6618,0.05878834918587188,0.4767666666666667,0.021037426965609028,0.010080726468250941,0.0205503363705242,0.18503333333333336,0.05148925454241236,1,1,0,3
sol,Sol,Logistic Regression,LR,MACCS,Random shuffle,0.5368225365867966,0.009761970057433568,0.6480666666666667,0.03851575435238589,0.47866666666666663,0.022646044540566727,0.05815586992012994,0.032369229592083826,0.1694,0.060443113751692194,1,1,1,3
sol,Sol,Logistic Regression,LR,RDKit desc,OOD holdout,0.5822027747659496,0.01984492974698646,0.7357,0.026694006818010645,0.5907666666666667,0.040560366533518084,-0.008563891900717121,0.027897176075010133,0.14493333333333333,0.06363531514287746,1,2,0,3
sol,Sol,Logistic Regression,LR,RDKit desc,Random shuffle,0.6196709384039546,0.011883579381166654,0.7381666666666667,0.035193796801898644,0.5876333333333333,0.02330007153064847,0.03203760507062133,0.020869027042385073,0.15053333333333338,0.01216155143611755,1,2,1,3
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,0.4794280382044879,0.036382012290548264,0.7582,0.03500471396826431,0.49676666666666663,0.03844688977451014,-0.017338628462178762,0.07473058071936517,0.26143333333333335,0.06832337325786346,2,0,0,3
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,0.5719940108472122,0.011546653480481988,0.7768333333333333,0.0028676354952003697,0.5004333333333334,0.04327589783393676,0.071560677513879,0.05121510796245679,0.27640000000000003,0.04604812699774006,2,0,1,3
sol,Sol,Linear SVM,SVM,MACCS,OOD holdout,0.4813716148923675,0.017799776276379627,0.6293333333333333,0.02765001506931478,0.4755666666666667,0.017601515086302477,0.005804948225700842,0.013481221505344972,0.15376666666666666,0.03938024039202065,2,1,0,3
sol,Sol,Linear SVM,SVM,MACCS,Random shuffle,0.5135364972721698,0.017349801285165747,0.6165333333333334,0.06624049617366505,0.4753,0.023354442832146514,0.03823649727216969,0.040607058552248776,0.14123333333333335,0.08953308513244328,2,1,1,3
