model,model_short,fingerprint,protocol,fold,train_pr_auc,inner_pr_auc,inner_train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap
Logistic Regression,LR,MACCS,OOD holdout,3,0.9126,0.7179849412945225,0.9686056366849835,0.7904,0.19461505870547746,-0.07241505870547749,0.12219999999999998
Logistic Regression,LR,MACCS,Random shuffle,1,0.9304,0.882712562359319,0.940003676938608,0.6598,0.04768743764068095,0.222912562359319,0.27059999999999995
Logistic Regression,LR,MACCS,Random shuffle,2,0.8947,0.855612984651579,0.9001577353003531,0.8047,0.03908701534842107,0.05091298465157901,0.09000000000000008
Logistic Regression,LR,MACCS,Random shuffle,3,0.9126,0.8739156997164945,0.9155692994434104,0.7904,0.038684300283505446,0.08351569971649453,0.12219999999999998
Logistic Regression,LR,RDKit desc,OOD holdout,1,0.9245,0.8525260265847203,0.9159616592009351,0.7247,0.07197397341527967,0.1278260265847203,0.19979999999999998
Logistic Regression,LR,RDKit desc,OOD holdout,2,0.903,0.7175514037445511,0.9450966673574455,0.8793,0.18544859625544896,-0.1617485962554489,0.023700000000000054
Logistic Regression,LR,RDKit desc,OOD holdout,3,0.8885,0.7226917580242034,0.9289764020483031,0.7608,0.16580824197579658,-0.03810824197579665,0.12769999999999992
Logistic Regression,LR,RDKit desc,Random shuffle,1,0.9455,0.9078121630917299,0.9503586510034034,0.7349,0.037687836908270156,0.17291216309172985,0.2106
Logistic Regression,LR,RDKit desc,Random shuffle,2,0.9085,0.8403035826277131,0.9157054825956027,0.8731,0.06819641737228688,-0.03279641737228689,0.03539999999999999
Logistic Regression,LR,RDKit desc,Random shuffle,3,0.9367,0.8843782130793377,0.941206700767071,0.7059,0.05232178692066225,0.17847821307933776,0.2308
SVM linear,SVM,ECFP4,OOD holdout,1,0.9971,0.8531224223523477,0.9975824503503612,0.6434,0.1439775776476523,0.20972242235234773,0.3537
SVM linear,SVM,ECFP4,OOD holdout,2,0.9209,0.6737590704174629,0.9416323328616137,0.8613,0.2471409295825372,-0.1875409295825371,0.0596000000000001
SVM linear,SVM,ECFP4,OOD holdout,3,0.9114,0.6861631597317237,0.9535357890843918,0.755,0.22523684026827628,-0.0688368402682763,0.15639999999999998
SVM linear,SVM,ECFP4,Random shuffle,1,0.9878,0.9338965685020507,0.9913478956219439,0.6587,0.053903431497949295,0.27519656850205076,0.32910000000000006
SVM linear,SVM,ECFP4,Random shuffle,2,0.9657,0.8724309554897839,0.9742611912388058,0.8714,0.09326904451021611,0.0010309554897839357,0.09430000000000005
SVM linear,SVM,ECFP4,Random shuffle,3,0.9741,0.9216887401826145,0.9765370690656578,0.7873,0.05241125981738548,0.13438874018261449,0.18679999999999997
SVM linear,SVM,MACCS,OOD holdout,1,0.9053,0.8098847215847476,0.9130165696737562,0.6489,0.09541527841525244,0.16098472158474753,0.25639999999999996
SVM linear,SVM,MACCS,OOD holdout,2,0.8842,0.7131337831288191,0.9353852066463435,0.7832,0.17106621687118084,-0.07006621687118086,0.10099999999999998
SVM linear,SVM,MACCS,OOD holdout,3,0.9063,0.7146528408128571,0.963288058621316,0.786,0.19164715918714292,-0.07134715918714296,0.12029999999999996
SVM linear,SVM,MACCS,Random shuffle,1,0.9244,0.8788779224817541,0.9344155192926773,0.6559,0.045522077518245885,0.22297792248175408,0.26849999999999996
SVM linear,SVM,MACCS,Random shuffle,2,0.8841,0.8416731589952309,0.8867763216851519,0.7843,0.04242684100476912,0.05737315899523088,0.0998
SVM linear,SVM,MACCS,Random shuffle,3,0.9065,0.8817065482071875,0.906029677812198,0.7828,0.02479345179281245,0.09890654820718747,0.12369999999999992
