model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,mean_importance,max_importance,cumulative_top_10,cumulative_top_20,cumulative_top_50,min_depth_mean,min_depth_std,min_depth_min,min_depth_max
Decision Tree,dt,maccs,Random shuffle,2,167,102,0.005988023952095776,0.0783404636520037,0.3506625805311551,0.5265808646494959,0.837988156073087,6.813725490196078,3.0660400885977293,0.0,16.0
Decision Tree,dt,maccs,Random shuffle,3,167,91,0.005988023952095783,0.1060267228964763,0.40044295747055786,0.5833332794836441,0.8851337960183102,6.604395604395604,2.9054703993946043,0.0,14.0
Logistic Regression,lr,ecfp4,OOD holdout,1,1024,376,0.0009765624999999823,0.0118500185930612,0.0939997121343227,0.17004645594007808,0.35153192029541325,,,,
Logistic Regression,lr,ecfp4,OOD holdout,2,1024,1022,0.0009765624999999544,0.0045610479157768,0.0378465855447785,0.069988591183027,0.1532428427610779,,,,
Logistic Regression,lr,ecfp4,OOD holdout,3,1024,34,0.0009765624999999985,0.0951409873090477,0.5942253737908944,0.8526892228384505,0.9999999999999984,,,,
Logistic Regression,lr,ecfp4,Random shuffle,1,1024,792,0.0009765624999999638,0.0057994191711606,0.0443097453231497,0.08305150561810971,0.18210156227242819,,,,
Logistic Regression,lr,ecfp4,Random shuffle,2,1024,714,0.0009765624999999678,0.0060185359152203,0.04986098092499951,0.09106234537183179,0.19958065817746537,,,,
Logistic Regression,lr,ecfp4,Random shuffle,3,1024,1020,0.0009765624999999544,0.0050871457357664,0.042698213619327796,0.07870410046849881,0.1667233095721011,,,,
Logistic Regression,lr,maccs,OOD holdout,1,167,102,0.005988023952095779,0.0410374127066308,0.3048652243096246,0.4726545563044969,0.8010079119465148,,,,
Logistic Regression,lr,maccs,OOD holdout,2,167,140,0.0059880239520957715,0.0676294385756499,0.35015220970047506,0.5378844680090832,0.7929412302262289,,,,
Logistic Regression,lr,maccs,OOD holdout,3,167,137,0.005988023952095767,0.0516340393375813,0.3394088027761547,0.5379099740377026,0.7966139575096719,,,,
Logistic Regression,lr,maccs,Random shuffle,1,167,144,0.0059880239520957645,0.0339617948175638,0.2688919287851477,0.4312254257989669,0.7209566182093211,,,,
Logistic Regression,lr,maccs,Random shuffle,2,167,139,0.005988023952095766,0.0671637006642063,0.349103436694637,0.5372737409957392,0.7932527446896488,,,,
Logistic Regression,lr,maccs,Random shuffle,3,167,137,0.005988023952095768,0.0516418109067242,0.3394825287004323,0.5380307482921959,0.7966334280355774,,,,
Logistic Regression,lr,rdkit_desc,OOD holdout,1,217,199,0.004608294930875533,0.0224705775912313,0.1799645441063328,0.3028602852712351,0.5732455119787728,,,,
Logistic Regression,lr,rdkit_desc,OOD holdout,2,217,190,0.004608294930875538,0.0360471052582787,0.2250267197151068,0.38265620644604714,0.6551033576090403,,,,
Logistic Regression,lr,rdkit_desc,OOD holdout,3,217,60,0.00460829493087556,0.066040475694524,0.3959075733769588,0.6503938346895963,0.9817237911884089,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,1,217,197,0.004608294930875531,0.0253787620737562,0.17102172407404673,0.2925396088385993,0.5736357014534801,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,2,217,198,0.004608294930875535,0.0316269629563441,0.2094321202017869,0.359480720497829,0.6230374190374266,,,,
Logistic Regression,lr,rdkit_desc,Random shuffle,3,217,199,0.004608294930875532,0.0294978472854373,0.19831422863028159,0.31799975536087616,0.5803990728710959,,,,
SVM linear,svm,ecfp4,OOD holdout,1,1024,990,0.0009765624999999532,0.0060219818818512,0.0403332663019331,0.07124516751363151,0.15205116115948747,,,,
SVM linear,svm,ecfp4,OOD holdout,2,1024,1017,0.0009765624999999538,0.0053384926049717,0.0440122426385179,0.08011591948939802,0.1712601066260301,,,,
SVM linear,svm,ecfp4,OOD holdout,3,1024,992,0.0009765624999999532,0.0084538848751048,0.0626642926970346,0.1091434629305033,0.2125224045168668,,,,
SVM linear,svm,ecfp4,Random shuffle,1,1024,999,0.0009765624999999545,0.0049783015447268,0.036988902695931504,0.0674915445668723,0.1476560161521114,,,,
SVM linear,svm,ecfp4,Random shuffle,2,1024,1011,0.000976562499999955,0.0038405345476477,0.035393146787257794,0.06581005388715261,0.1476981321665027,,,,
SVM linear,svm,ecfp4,Random shuffle,3,1024,1004,0.0009765624999999544,0.0041425828594669,0.0373760625195499,0.0697818687107162,0.1508961603401217,,,,
SVM linear,svm,maccs,OOD holdout,1,167,147,0.0059880239520957645,0.0228666599882277,0.19659917678280903,0.34702599870757467,0.6681860594143644,,,,
SVM linear,svm,maccs,OOD holdout,2,167,148,0.0059880239520957715,0.0544961410384515,0.3104535543967451,0.4807987388291326,0.753612215529982,,,,
SVM linear,svm,maccs,OOD holdout,3,167,143,0.0059880239520957715,0.0376728168032916,0.28485641622348923,0.4600320969503234,0.7531093667177212,,,,
SVM linear,svm,maccs,Random shuffle,1,167,146,0.005988023952095765,0.0390646584580189,0.2664776848071415,0.42308243815323315,0.7096889668166311,,,,
SVM linear,svm,maccs,Random shuffle,2,167,148,0.005988023952095766,0.0577539033173763,0.32036823690649036,0.4918832808559779,0.759889505782394,,,,
SVM linear,svm,maccs,Random shuffle,3,167,144,0.00598802395209577,0.0338070092911906,0.2760257096115143,0.44522724560176535,0.7381301732531016,,,,
