model,fingerprint,fold,category,smiles,true_label,pred_ood,pred_random,correct_ood,correct_random,pred_diff_abs
Decision Tree,ecfp4,3,ood_correct_random_wrong,C=CCN(CC=C)C(=O)Nc1ccc(C(=O)NN=Cc2cccc(OC)c2OC)cc1,1,0.9926341301145274,0.0,True,False,0.9926341301145274
Decision Tree,ecfp4,3,ood_wrong_random_correct,CN(N=Cc1ccccn1)C1=NCCCCN1.I,0,0.9931218105169738,0.0,False,True,0.9931218105169738
Decision Tree,maccs,1,both_correct,CCOC(=O)c1sc(SC)nc1NC(=O)c1ccc(Cl)cc1,0,0.0,0.4666666666666667,True,True,0.4666666666666667
Decision Tree,maccs,1,both_wrong,Sc1ccc2ccccc2c1CN1CCOCC1,1,0.0209059233449477,0.3846153846153846,False,False,0.3637094612704369
Decision Tree,maccs,1,ood_correct_random_wrong,O=c1[c-](-c2ccccc2)[se]c(-c2ccccc2)[n+]1-c1ccccc1,0,0.0421052631578947,0.8571428571428571,True,False,0.8150375939849623
Decision Tree,maccs,1,ood_wrong_random_correct,O=C(O)c1ccc(NC(=O)c2ccccc2[Se][Se]c2ccccc2C(=O)Nc2ccc(C(=O)O)cc2)cc1,1,0.0113314447592068,0.8571428571428571,False,True,0.8458114123836503
Decision Tree,maccs,2,both_correct,COc1ccc2c(c1)CN(C(C)C1CCC3C4CCC5CC(O)CCC5(C)C4CCC31C)CO2,0,0.0,0.4929742008761967,True,True,0.4929742008761967
Decision Tree,maccs,2,both_wrong,CCCc1cc(O)nc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,1,0.0194805194805194,0.4489198853394013,False,False,0.4294393658588819
Decision Tree,maccs,2,ood_correct_random_wrong,O=S1Nc2c(Cl)cc(Cl)c(Cl)c2S1,0,0.0,0.9783602756488696,True,False,0.9783602756488696
Decision Tree,maccs,2,ood_wrong_random_correct,COC(=O)c1cc(C(=CCCBr)c2cc(Cl)c(OC)c(C(=O)OC)c2)cc(Cl)c1OC,1,0.0,0.9017035674007242,False,True,0.9017035674007242
Decision Tree,maccs,3,both_correct,O=S1(=O)C(c2ccccc2)c2c(-c3ccccc3)sc(-c3ccccc3)c2C1c1ccccc1,0,0.4967951385998503,0.0,True,True,0.4967951385998503
Decision Tree,maccs,3,both_wrong,O=S(=O)(c1ccccc1)c1nccs1,1,0.4967951385998503,0.0,False,False,0.4967951385998503
Decision Tree,maccs,3,ood_correct_random_wrong,Cc1ncc([N+](=O)[O-])n1CCNC(=O)CCCn1cnc([N+](=O)[O-])n1,0,0.0,0.9746856116282868,True,False,0.9746856116282868
Decision Tree,maccs,3,ood_wrong_random_correct,CCOC(=O)C(ON)=C(CCC(C(=O)OC)=C(ON)C(=O)OCC)C(=O)OC,1,0.0,0.986337593653592,False,True,0.986337593653592
Logistic Regression,ecfp4,1,both_correct,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0,0.0751233130062363,0.4292038118957817,True,True,0.3540804988895454
Logistic Regression,ecfp4,1,both_wrong,CC(=O)OCC1OC(c2c(OC(C)=O)cc(C)c3c(=O)cc(C(C(C)=O)=C(C)O)oc23)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0,0.6239233647114868,0.8765651120530765,False,False,0.25264174734158973
Logistic Regression,ecfp4,1,ood_correct_random_wrong,O=C(Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3cc(Nc4nc(Cl)nc(Nc5ccc(S(=O)(=O)O)cc5)n4)ccc3S(=O)(=O)O)c(O)c12)c1ccccc1.[NaH],0,0.2072269670858506,0.5530422986835635,True,False,0.3458153315977129
Logistic Regression,ecfp4,2,both_correct,CCCCCCCN1C(=O)C(O)(c2ccc(C3(O)C(=O)N(CCCCCCC)c4ccccc43)s2)c2ccccc21,0,0.4991501563521734,0.0112080532215007,True,True,0.4879421031306727
Logistic Regression,ecfp4,2,both_wrong,CC(C)=CCN1Cc2cc(Cl)cc3[nH]c(=S)n(c23)CC1C,1,0.4943262213258523,0.0177781882536394,False,False,0.4765480330722129
Logistic Regression,ecfp4,2,ood_correct_random_wrong,N=c1ccn(C=C=CCO)c(=O)[nH]1,1,0.9923239431071528,0.061414009062871,True,False,0.9309099340442818
Logistic Regression,ecfp4,2,ood_wrong_random_correct,COc1ccc(C2SC(=S)N(Cc3ccc(Cl)cc3)N2Cc2ccc(Cl)cc2)cc1,0,0.983605505580042,0.0170530539689436,False,True,0.9665524516110984
Logistic Regression,ecfp4,3,both_correct,CCCCC(CC)CCC(CCC(CC)CCCC)S(=O)(=O)O,0,0.4985350220871176,0.0277978014867382,True,True,0.47073722060037937
Logistic Regression,ecfp4,3,both_wrong,COC1C(N)C(OC2C(Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)OC(C)C(O)C2(C)O)OC(C)C1O,0,0.9822542380902456,0.5086611088202744,False,False,0.4735931292699712
Logistic Regression,ecfp4,3,ood_correct_random_wrong,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CC(C)C)C(N)=O)C(C)CC,1,0.8743148127835543,0.0857462991607254,True,False,0.7885685136228289
Logistic Regression,ecfp4,3,ood_wrong_random_correct,CC(O)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccccc2)NC(=O)C2CCCC2NC(=O)C(Cc2ccccc2)NC1=O.O=C(O)C(F)(F)F,0,0.9169948852412874,0.041865294534087,False,True,0.8751295907072003
Logistic Regression,maccs,1,both_correct,O=S1(=O)CC#CCC(CO)C(CO)CC#CC1,0,0.4947347710723154,0.00700338851368,True,True,0.4877313825586354
Logistic Regression,maccs,1,both_wrong,O=c1cc(-c2cccs2)ss1,1,0.4943871511214973,0.0106057309871496,False,False,0.48378142013434766
Logistic Regression,maccs,1,ood_correct_random_wrong,O=C(O)Cc1ccc(SSc2ccc(CC(=O)O)cc2)cc1,1,0.9833897116842436,0.0718617394473977,True,False,0.9115279722368459
Logistic Regression,maccs,1,ood_wrong_random_correct,O=[N+]([O-])c1ccc(SSc2ccc([N+](=O)[O-])cn2)nc1,0,0.9907071590584566,0.052516869317012,False,True,0.9381902897414446
Logistic Regression,maccs,2,both_correct,Cc1ccc(-c2c3ccc(n3)c(-c3ccc(C)cc3)c3ccc([nH]3)c(-c3cc[n+]([Pt-2]4([n+]5ccc(-c6c7ccc(n7)c(-c7ccc(C)cc7)c7ccc([nH]7)c(-c7ccc(C)cc7)c7ccc(n7)c(-c7ccc(C)cc7)c7ccc6[nH]7)cc5)[PH](c5ccccc5)(c5ccccc5)CCC[PH]4(c4ccccc4)c4ccccc4)cc3)c3ccc(n3)c(-c3ccc(C)cc3)c3ccc2[nH]3)cc1.O=S(=O)([O-])C(F)(F)F,0,0.0731614729764875,0.2621580582376207,True,True,0.18899658526113317
Logistic Regression,maccs,2,both_wrong,NC(=O)c1cccn1Cc1ccccc1SSc1ccccc1Cn1cccc1C(N)=O,1,0.1104209007491196,0.1928914080750282,False,False,0.08247050732590859
Logistic Regression,maccs,2,ood_correct_random_wrong,CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2cc(O)c(S(=O)(=O)O)cc2S(=O)(=O)O)C=C1C,0,0.4773651677488595,0.5614388998931322,True,False,0.08407373214427272
Logistic Regression,maccs,2,ood_wrong_random_correct,O=S(=O)([O-])c1ccc2c3c(ccc2c1)[OH+][Cu-][N+](c1ccc(C=Cc2ccc([N+]4=Nc5c(ccc6cc(S(=O)(=O)[O-])ccc56)[OH+][Cu-]4)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1)=N3.[Na+],1,0.462732004119499,0.5704218114746238,False,True,0.10768980735512479
Logistic Regression,maccs,3,both_correct,O=[N+]([O-])[OH+][Au-3]12[P-](c3ccccc3)(c3ccccc3)[Au-3]1([OH+][N+](=O)[O-])[P-]2(c1ccccc1)c1ccccc1,0,0.4962742837158166,0.0449985250204616,True,True,0.451275758695355
Logistic Regression,maccs,3,both_wrong,CN(C)C(=N)CSS(=O)(=O)O,1,0.352485113105944,0.0617251785892174,False,False,0.2907599345167266
Logistic Regression,maccs,3,ood_correct_random_wrong,Cc1ccc2c(c1)C(C(=O)NC1C(=O)N3C1SC(C)(C)C3C(=O)O)OCCC2.[NaH],0,0.0351290621826158,0.5616568599383551,True,False,0.5265277977557393
Logistic Regression,maccs,3,ood_wrong_random_correct,N[Co-4](N)([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-].[Cs+],0,0.5317880192106658,0.0302987943258271,False,True,0.5014892248848387
Logistic Regression,rdkit_desc,1,both_correct,Cc1cccc2c(=O)c([Se]c3coc4c(C)cccc4c3=O)coc12,0,0.1605328417962181,0.2679510631900588,True,True,0.10741822139384069
Logistic Regression,rdkit_desc,1,both_wrong,Cc1cc(Cc2c(F)c(F)c(C(c3cc(C)no3)c3c(F)c(F)c(F)c(F)c3F)c(F)c2F)on1,0,0.5347303210744634,0.7429565683651806,False,False,0.20822624729071726
Logistic Regression,rdkit_desc,1,ood_correct_random_wrong,O=C(O)c1ccccc1-n1nc(C(=O)O)c(N=Nc2ccc(C=Cc3ccc(N=Nc4c(C(=O)O)nn(-c5ccccc5C(=O)O)c4O)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)c1O.[Cu].[NaH],0,0.3990440976804965,0.5839344992050847,True,False,0.1848904015245882
Logistic Regression,rdkit_desc,1,ood_wrong_random_correct,CC1=C(O)C(=C(c2cc(C(=O)O)c(O)cc2O)c2cc(C(=O)O)c(O)c(C)c2O)C=C(C(=O)O)C1=O.N,1,0.3677272569448404,0.5034247964572027,False,True,0.13569753951236235
Logistic Regression,rdkit_desc,2,both_correct,CC(C)CCCC(C)C1CCC2C3CCC4CC(CCC=C(c5cc(Cl)c(O)c(C(=O)O)c5)c5cc(Cl)c(O)c(C(=O)O)c5)CCC4(C)C3CCC12C.OCCN1CCCC1,0,0.4751737886042438,0.1365497569414638,True,True,0.33862403166278
Logistic Regression,rdkit_desc,2,both_wrong,CCC1NC(=O)C(C(O)C(C)C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(CCCCNC(=O)COc2ccc(CC(NC(=O)OC3CCOC3)C(O)CN(CC(C)C)S(=O)(=O)c3ccc(N)cc3)cc2)NC(=O)C(CC(C)C)N(C)C(=O)C(C(C)C)NC(=O)C(CC(C)C)N(C)C(=O)C(CO)N(C)C1=O,1,0.4399303541627808,0.062281806852109,False,False,0.3776485473106718
Logistic Regression,rdkit_desc,2,ood_correct_random_wrong,O=S(=O)(O)OCC1OC2OC3C(COS(=O)(=O)O)OC(OC4C(COS(=O)(=O)O)OC(OC5C(COS(=O)(=O)O)OC(OC6C(COS(=O)(=O)O)OC(OC7C(COS(=O)(=O)O)OC(OC8C(COS(=O)(=O)O)OC(OC1C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C8OS(=O)(=O)O)C(OS(=O)(=O)O)C7OS(=O)(=O)O)C(OS(=O)(=O)O)C6OS(=O)(=O)O)C(OS(=O)(=O)O)C5OS(=O)(=O)O)C(OS(=O)(=O)O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3OS(=O)(=O)O,0,0.1258904626858213,0.9869328536508788,True,False,0.8610423909650575
Logistic Regression,rdkit_desc,2,ood_wrong_random_correct,O=S(=O)(O)OCC1OC2OC3C(COS(=O)(=O)O)OC(OC4C(COS(=O)(=O)O)OC(OC5C(COS(=O)(=O)O)OC(OC6C(COS(=O)(=O)O)OC(OC7C(COS(=O)(=O)O)OC(OC8C(COS(=O)(=O)O)OC(OC1C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C8OS(=O)(=O)O)C(OS(=O)(=O)O)C7OS(=O)(=O)O)C(OS(=O)(=O)O)C6OS(=O)(=O)O)C(OS(=O)(=O)O)C5OS(=O)(=O)O)C(OS(=O)(=O)O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3OS(=O)(=O)O.[NaH],1,0.0503877344487451,0.9858564766664052,False,True,0.9354687422176601
Logistic Regression,rdkit_desc,3,both_correct,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CC(C)C)C(N)=O)C(C)CC,1,0.844273842288236,0.5457241559094134,True,True,0.2985496863788226
Logistic Regression,rdkit_desc,3,both_wrong,CCC(C)C(NC(=O)CNC(=O)C(C)NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(CO)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(N)CCCCN)C(C)CC)C(C)CC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)O,0,0.9055635492939416,0.6393667038412062,False,False,0.26619684545273536
Logistic Regression,rdkit_desc,3,ood_correct_random_wrong,O=C([O-])c1ccc2c(c1)C1=NC3=c4ccc(C(=O)[O-])cc4=C4N=C5c6ccc(C(=O)[O-])cc6C6=[N+]5[Gd+3]5([N+]1=C2N=C1c2cc(C(=O)[O-])ccc2C(=N6)[NH+]15)[NH+]34.[K+],0,0.4159811413860187,0.9305063793747622,True,False,0.5145252379887435
Logistic Regression,rdkit_desc,3,ood_wrong_random_correct,CCCCCCCCCCCCCC(=O)NCC(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(N)=O,0,0.657132811896251,0.2677241255767591,False,True,0.3894086863194918
SVM linear,ecfp4,1,both_correct,Cc1cc2[n-][n+]3ncc(-c4ccccc4)n3c2cc1[N+](=O)[O-],0,-2.6306173933706987,-0.3697449940373736,True,True,2.260872399333325
SVM linear,ecfp4,1,both_wrong,CC(=O)OCC1OC(c2c(OC(C)=O)cc(C)c3c(=O)cc(C(C(C)=O)=C(C)O)oc23)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0,0.2519723727567249,2.922237369113511,False,False,2.670264996356786
SVM linear,ecfp4,1,ood_correct_random_wrong,CC1=CC(=C(c2ccccc2S(=O)(=O)O)c2cc(C)c(O)c(CN(CC(=O)O)CC(=O)O)c2C)C(C)=C(CN(CC(=O)O)CC(=O)O)C1=O.[NaH],0,-0.6838814236061346,2.714120714038591,True,False,3.3980021376447254
SVM linear,ecfp4,1,ood_wrong_random_correct,Nc1ccc(C=Cc2ccc(NC(=O)c3cc(S(=O)(=O)O)c4cccnc4c3O)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1.[NaH],1,-1.1699087191484852,1.8051400697071904,False,True,2.9750487888556756
SVM linear,ecfp4,2,both_correct,Cc1nc2c(=O)n(-c3ccccc3)c3ccccc3c2o1,0,-6.226403428393899,-2.9487612703886548,True,True,3.2776421580052446
SVM linear,ecfp4,2,both_wrong,CCOC(=O)COc1ccc(CC(NC(=O)OC2CCOC2)C(O)CN(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1,1,-5.713724657710918,-2.300145973300697,False,False,3.4135786844102207
SVM linear,ecfp4,2,ood_correct_random_wrong,CC#[N+][Rh+2]1234[O+]=C5N(C(=O)c6ccccc6)CC(C(=O)OC)[NH+]5[Rh+2]1([N+]#CC)([O+]=C1N(C(=O)c5ccccc5)CC(C(=O)OC)[NH+]12)([O+]=C1N(C(=O)c2ccccc2)CC(C(=O)OC)[NH+]13)[NH+]1C(=[O+]4)N(C(=O)c2ccccc2)CC1C(=O)OC,1,0.619105242884388,-0.5015460338970334,True,False,1.1206512767814214
SVM linear,ecfp4,2,ood_wrong_random_correct,C#CC1(O)CCC2C3CCC4=CC(=NOC(=O)c5cccc6c(=O)c7ccccc7[nH]c56)CCC4C3CCC21C,0,1.6606755839765346,-0.2837366447426661,False,True,1.9444122287192007
SVM linear,ecfp4,3,both_correct,N#Cc1cc2c(cc1C#N)C(Nc1cccc(N)n1)=NC2=Nc1cccc(N)n1,0,-0.3158163106380958,-2.86100428778908,True,True,2.5451879771509844
SVM linear,ecfp4,3,both_wrong,CCC(C)C(NC(=O)C(CCCC(N)=O)NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)CNC(=O)C1CCCN1C(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(CCCC(N)=O)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(COC1OC(CO)C(O)C(O)C1NC(C)=O)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(N)=O)C(C)O)C(C)CC)C(C)CC)C(C)C)C(C)O)C(C)CC)C(=O)NCC(N)=O,0,3.721308035286984,0.7891005265038045,False,False,2.9322075087831796
SVM linear,ecfp4,3,ood_correct_random_wrong,CC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C2NC(=O)C(Cc3ccccc3)NC(=O)C3CCCN3C(=O)CNC(=O)C(Cc3ccccc3)NC(=O)C3CNCCCCC(C(=O)O)NC(=O)C4NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(C(O)C(=O)O)NC(=O)C(CSCC(NC(=O)C(CCC(N)=O)NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CSC4C)C(=O)NC(CSC2C)C(=O)N3)NC1=O,1,0.5440903486146751,-2.286103572126553,True,False,2.830193920741228
SVM linear,ecfp4,3,ood_wrong_random_correct,CC(=O)NC(CS)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CO)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(N)=O,0,2.3777059324614416,-0.8789800866005204,False,True,3.256686019061962
SVM linear,maccs,1,both_correct,C12=C3[C-]4C5=C1[Fe+3]23541678C2=C1[C-]6C7=C28.O=C(O)C(Cl)(Cl)Cl.O=C([O-])C(Cl)(Cl)Cl,0,-4.901900365783291,-1.0018841130175655,True,True,3.9000162527657256
SVM linear,maccs,1,both_wrong,CCOC(=O)N1N=C(c2ccccc2)OC2(N3CCCC3)CCC(C(C)(C)C)CC12,1,-3.323617435249906,-1.0004693290692144,False,False,2.3231481061806916
SVM linear,maccs,1,ood_correct_random_wrong,O=C(O)c1cc(N=Nc2ccc(C=Cc3ccc(N=Nc4cc(C(=O)O)c(O)c5ccccc45)cc3S(=O)(=O)O)c(S(=O)(=O)O)c2)c2ccccc2c1O.[NaH],1,2.624129030809611,-0.9994133148320338,True,False,3.6235423456416447
SVM linear,maccs,1,ood_wrong_random_correct,CC(=O)[OH+][Co-3]12(Oc3ccccc3C=[N+]1c1ccc(S(=O)(=O)Nc3ncccn3)cc1)Oc1ccccc1C=[N+]2c1ccc(S(=O)(=O)Nc2ncccn2)cc1,0,3.379645817835131,-1.0001689695270182,False,True,4.379814787362149
SVM linear,maccs,2,both_correct,c1ccc([S+](C[Hg]C[S+](c2ccccc2)c2ccccc2)c2ccccc2)cc1,0,-1.0030042914216453,-1.00172575368344,True,True,0.0012785377382051877
SVM linear,maccs,2,both_wrong,CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C,1,-1.0013694479697453,-1.000646478457947,False,False,0.0007229695117982882
SVM linear,maccs,3,both_correct,CCN(CC)C(=O)Oc1ccc(C=NO)nc1,0,-4.314302832037338,-1.001152757056206,True,True,3.3131500749811322
SVM linear,maccs,3,both_wrong,C[N+]12CCCc3cc(CO)cc(c31)CCC2,1,-2.932108311172075,-1.000323396165458,False,False,1.931784915006617
SVM linear,maccs,3,ood_correct_random_wrong,COC(=O)C1Cc2cc(O)c(O)cc2C2(CCN(C)CC2)O1.Cc1ccc(S(=O)(=O)O)cc1,1,2.24280061272824,-0.9998183204964328,True,False,3.242618933224673
SVM linear,maccs,3,ood_wrong_random_correct,CCCc1nc(SCCCCCCCCSc2nc(CCC)c(-c3ccc(F)cc3)[nH]2)[nH]c1-c1ccc(F)cc1.CS(=O)(=O)O,0,2.8366329742474887,-0.9999810043021164,False,True,3.836613978549605
