model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Decision Tree,DT,MACCS,Random shuffle,dt_hiv_hi_random_shuffle_maccs,2,0.4213371302855167,0.45528755581293395,0.466,0.0655,0.3558371302855167,0.4005,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",random_shuffle,2.0,0,1,1
Decision Tree,DT,MACCS,Random shuffle,dt_hiv_hi_random_shuffle_maccs,3,0.41361169626342353,0.587920674560636,0.5834,0.037,0.37661169626342356,0.5464,"{'ccp_alpha': 0.0001, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",random_shuffle,2.0,0,1,1
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,1,0.10248845807013461,0.07771151926336242,0.4052,0.0676,0.03488845807013462,0.3376,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 1.0}",holdout,8371.6,1,0,0
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,2,0.11764594928006691,0.3841534076544841,0.4263,0.0752,0.04244594928006691,0.3511,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.0}",holdout,14054.4,1,0,0
Logistic Regression,LR,ECFP4,OOD holdout,lr_hiv_hi_inner_ood_holdout_ecfp4,3,0.16525761355557522,0.6496171988233373,0.5288,0.0302,0.13505761355557522,0.49860000000000004,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 1.0}",holdout,15749.9,1,0,0
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,1,0.4507673460077076,0.6105083960069282,0.6006,0.0906,0.3601673460077076,0.51,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,16667.1,1,0,1
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,2,0.4481927564739988,0.5419411415373042,0.5399,0.0954,0.3527927564739988,0.44450000000000006,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,10577.3,1,0,1
Logistic Regression,LR,ECFP4,Random shuffle,lr_hiv_hi_random_shuffle_ecfp4,3,0.5268741766464259,0.6602381014423176,0.6587,0.0281,0.49877417664642587,0.6305999999999999,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,17405.7,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,1,0.12172407710528933,0.0780165947725756,0.1779,0.1984,-0.07667592289471066,-0.02049999999999999,"{'C': 10.0, 'class_weight': 'balanced', 'l1_ratio': 1.0}",holdout,2291.5,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,2,0.15848128462436223,0.08786818914328931,0.3097,0.0929,0.06558128462436223,0.2168,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 1.0}",holdout,833.0,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_hiv_hi_inner_ood_holdout_maccs,3,0.2457193817651329,0.3197559569074124,0.1968,0.0473,0.19841938176513288,0.1495,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 1.0}",holdout,2259.0,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,1,0.3048429158812247,0.34770989323663554,0.3475,0.1634,0.1414429158812247,0.18409999999999999,"{'C': 5.0, 'class_weight': None, 'l1_ratio': 0.5}",random_shuffle,3018.0,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,2,0.33366340102810144,0.3288702385525533,0.341,0.0915,0.24216340102810144,0.24950000000000003,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,3034.0,1,1,1
Logistic Regression,LR,MACCS,Random shuffle,lr_hiv_hi_random_shuffle_maccs,3,0.38857014673701684,0.39785615739726055,0.406,0.0455,0.34307014673701686,0.36050000000000004,"{'C': 1.0, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,3830.0,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,1,0.14752408432396724,0.14256475499928756,0.3391,0.0889,0.058624084323967235,0.2502,"{'model__C': 0.01, 'model__class_weight': None, 'model__l1_ratio': 0.0}",holdout,1095.1,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,2,0.22697464104655096,0.21140043302267164,0.425,0.1356,0.09137464104655096,0.2894,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",holdout,1084.5,1,2,0
Logistic Regression,LR,RDKit desc,OOD holdout,lr_hiv_hi_inner_ood_holdout_rdkit_desc,3,0.14168768495589332,0.5566094718809318,0.5074,0.041,0.10068768495589331,0.4664,"{'model__C': 10.0, 'model__class_weight': None, 'model__l1_ratio': 0.0}",holdout,363.4,1,2,0
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,1,0.3018292287862727,0.360441966242357,0.3571,0.1002,0.2016292287862727,0.25689999999999996,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.5}",random_shuffle,1179.7,1,2,1
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,2,0.42206091456172107,0.3877172407187453,0.4025,0.1272,0.29486091456172103,0.2753,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 1.0}",random_shuffle,808.3,1,2,1
Logistic Regression,LR,RDKit desc,Random shuffle,lr_hiv_hi_random_shuffle_rdkit_desc,3,0.40967811777495083,0.5031582736991623,0.4932,0.0388,0.37087811777495083,0.4544,"{'model__C': 0.1, 'model__class_weight': None, 'model__l1_ratio': 0.0}",random_shuffle,296.7,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,1,0.07785530119312378,0.7633040657588372,0.6248,0.0616,0.01625530119312378,0.5632,"{'C': 0.1, 'class_weight': None}",holdout,130.5,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,2,0.11107565279641697,0.8631812852167844,0.6437,0.0675,0.04357565279641697,0.5762,"{'C': 0.5, 'class_weight': None}",holdout,137.6,2,0,0
Linear SVM,SVM,ECFP4,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_ecfp4,3,0.10570953239873399,0.628333195555892,0.5429,0.0306,0.07510953239873398,0.5123000000000001,"{'C': 0.01, 'class_weight': 'balanced'}",holdout,335.2,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,1,0.3970473001992274,0.48976382321590983,0.4684,0.1223,0.2747473001992274,0.34609999999999996,"{'C': 0.01, 'class_weight': 'balanced'}",random_shuffle,470.7,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,2,0.3951264886017406,0.6028648794519236,0.5747,0.0721,0.3230264886017406,0.5025999999999999,"{'C': 0.1, 'class_weight': None}",random_shuffle,242.0,2,0,1
Linear SVM,SVM,ECFP4,Random shuffle,svm_linear_hiv_hi_random_shuffle_ecfp4,3,0.5077920694216477,0.6843212282085356,0.6764,0.0241,0.48369206942164766,0.6523,"{'C': 0.1, 'class_weight': None}",random_shuffle,218.8,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,1,0.09991338377498926,0.067483548172589,0.2011,0.1456,-0.045686616225010745,0.055499999999999994,"{'C': 0.1, 'class_weight': 'balanced'}",holdout,55.8,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,2,0.2141180102747668,0.10557298961990623,0.2635,0.121,0.0931180102747668,0.14250000000000002,"{'C': 0.1, 'class_weight': None}",holdout,34.0,2,1,0
Linear SVM,SVM,MACCS,OOD holdout,svm_linear_hiv_hi_inner_ood_holdout_maccs,3,0.17483343771947224,0.28344930601724233,0.2733,0.0437,0.13113343771947222,0.22959999999999997,"{'C': 0.01, 'class_weight': 'balanced'}",holdout,61.9,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,1,0.21599033026318276,0.24816729530953086,0.2286,0.1738,0.04219033026318275,0.05479999999999999,"{'C': 0.01, 'class_weight': None}",random_shuffle,144.0,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,2,0.2955998780472955,0.268369836447199,0.2666,0.1073,0.18829987804729548,0.1593,"{'C': 5.0, 'class_weight': None}",random_shuffle,177.0,2,1,1
Linear SVM,SVM,MACCS,Random shuffle,svm_linear_hiv_hi_random_shuffle_maccs,3,0.3330885539687254,0.2994841099986234,0.2885,0.0372,0.2958885539687254,0.25129999999999997,"{'C': 0.5, 'class_weight': None}",random_shuffle,153.5,2,1,1
