model,model_short,fingerprint,protocol,fold,train_pr_auc,inner_pr_auc,inner_train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap
Logistic Regression,LR,RDKit desc,Random shuffle,2,0.7901,0.686947358977245,0.8017729885831307,0.5923,0.10315264102275501,0.09464735897724497,0.19779999999999998
Logistic Regression,LR,RDKit desc,Random shuffle,3,0.6815,0.6172666197743841,0.6839893476779418,0.5584,0.06423338022561587,0.05886661977438412,0.12309999999999999
SVM linear,SVM,ECFP4,OOD holdout,1,0.7773,0.4645090190036799,0.8592118940350321,0.5082,0.3127909809963201,-0.04369098099632007,0.2691
SVM linear,SVM,ECFP4,OOD holdout,2,0.7178,0.45287699109268786,0.7745578695219281,0.5282,0.26492300890731213,-0.07532300890731214,0.1896
SVM linear,SVM,ECFP4,OOD holdout,3,0.7795,0.520898104517096,0.846542961998466,0.4539,0.258601895482904,0.06699810451709592,0.32559999999999995
SVM linear,SVM,ECFP4,Random shuffle,1,0.941,0.5601480193486588,0.9657732041542659,0.3956,0.3808519806513412,0.16454801934865876,0.5453999999999999
SVM linear,SVM,ECFP4,Random shuffle,2,0.7737,0.6559103565376132,0.7864046226759375,0.5394,0.11778964346238685,0.11651035653761321,0.23430000000000006
SVM linear,SVM,ECFP4,Random shuffle,3,0.7794,0.5496675022761512,0.7940439698953999,0.4538,0.22973249772384874,0.09586750227615126,0.3256
SVM linear,SVM,MACCS,OOD holdout,1,0.6293,0.4870328363826815,0.6681746191307687,0.4933,0.14226716361731845,-0.006267163617318494,0.13599999999999995
SVM linear,SVM,MACCS,OOD holdout,2,0.6017,0.49565225669976704,0.5898188449820483,0.4753,0.10604774330023298,0.020352256699767035,0.1264
SVM linear,SVM,MACCS,OOD holdout,3,0.657,0.461429751594654,0.6941688817874161,0.4581,0.19557024840534604,0.0033297515946539846,0.19890000000000002
SVM linear,SVM,MACCS,Random shuffle,1,0.5119,0.4990094885528602,0.5149863882020369,0.4409,0.012890511447139819,0.05810948855286019,0.07100000000000001
SVM linear,SVM,MACCS,Random shuffle,2,0.5167,0.546428221848086,0.51554272730883,0.4646,-0.02972822184808599,0.08182822184808602,0.052100000000000035
SVM linear,SVM,MACCS,Random shuffle,3,0.6919,0.5760271079582211,0.7004876403940051,0.4484,0.11587289204177886,0.12762710795822108,0.24349999999999994
