path	task	dataset	model	fp_type	fp_types	search_strategy	n_iter	inner_k	scoring	fixed
configs/hi/hiv/lr/lr_hiv_hi.yaml	hi	hiv	lr	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'max_iter': 40000, 'random_state': 42, 'solver': 'saga', 'penalty': 'elasticnet'}
configs/hi/hiv/random_forest/rf_hiv_hi.yaml	hi	hiv	rf	None	['rdkit_desc']	random	100	2	average_precision	{'random_state': 42}
configs/hi/hiv/svm/svm_linear_hiv_hi.yaml	hi	hiv	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'linear', 'probability': False}
configs/hi/hiv/svm/svm_poly_hiv_hi.yaml	hi	hiv	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'poly', 'probability': False}
configs/hi/hiv/svm/svm_rbf_hiv_hi.yaml	hi	hiv	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'rbf', 'probability': False}
configs/hi/hiv/svm/svm_tanimoto_hiv_hi.yaml	hi	hiv	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'tanimoto', 'probability': False}
configs/hi/hiv/xgboost/xgb_hiv_hi.yaml	hi	hiv	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	40	2	average_precision	{'random_state': 42, 'n_jobs': -1}
configs/hi/kdr/decision_tree/dt_ecfp4_kdr_hi.yaml	hi	kdr	dt	ecfp4	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/kdr/decision_tree/dt_maccs_kdr_hi.yaml	hi	kdr	dt	maccs	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/kdr/dummy/dummy_kdr_hi.yaml	hi	kdr	dummy	ecfp4	None	grid	None	2	average_precision	{'strategy': 'most_frequent'}
configs/hi/kdr/gradient_boosting/gb_kdr_hi.yaml	hi	kdr	gb	None	['maccs']	random	80	2	average_precision	{'random_state': 42}
configs/hi/kdr/knn/knn_kdr_hi.yaml	hi	kdr	knn	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'algorithm': 'auto'}
configs/hi/kdr/lr/lr_kdr_hi.yaml	hi	kdr	lr	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'max_iter': 15000, 'random_state': 42, 'solver': 'saga', 'penalty': 'elasticnet'}
configs/hi/kdr/random_forest/rf_kdr_hi.yaml	hi	kdr	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	average_precision	{'random_state': 42}
configs/hi/kdr/svm/svm_linear_kdr_hi.yaml	hi	kdr	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'linear', 'probability': False}
configs/hi/kdr/svm/svm_poly_kdr_hi.yaml	hi	kdr	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'poly', 'probability': False}
configs/hi/kdr/svm/svm_rbf_kdr_hi.yaml	hi	kdr	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'rbf', 'probability': False}
configs/hi/kdr/svm/svm_tanimoto_kdr_hi.yaml	hi	kdr	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'tanimoto', 'probability': False}
configs/hi/kdr/xgboost/xgb_kdr_hi.yaml	hi	kdr	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	average_precision	{'random_state': 42, 'n_jobs': -1}
configs/hi/sol/decision_tree/dt_ecfp4_sol_hi.yaml	hi	sol	dt	ecfp4	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/sol/decision_tree/dt_maccs_sol_hi.yaml	hi	sol	dt	maccs	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/sol/dummy/dummy_sol_hi.yaml	hi	sol	dummy	ecfp4	None	grid	None	2	average_precision	{'strategy': 'most_frequent'}
configs/hi/sol/gradient_boosting/gb_sol_hi.yaml	hi	sol	gb	None	['maccs']	random	80	2	average_precision	{'random_state': 42}
configs/hi/sol/knn/knn_sol_hi.yaml	hi	sol	knn	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'algorithm': 'auto'}
configs/hi/sol/lr/lr_sol_hi.yaml	hi	sol	lr	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'max_iter': 15000, 'random_state': 42, 'solver': 'saga', 'penalty': 'elasticnet'}
configs/hi/sol/random_forest/rf_sol_hi.yaml	hi	sol	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	average_precision	{'random_state': 42}
configs/hi/sol/svm/svm_linear_sol_hi.yaml	hi	sol	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'linear', 'probability': False}
configs/hi/sol/svm/svm_poly_sol_hi.yaml	hi	sol	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'poly', 'probability': False}
configs/hi/sol/svm/svm_rbf_sol_hi.yaml	hi	sol	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'rbf', 'probability': False}
configs/hi/sol/svm/svm_tanimoto_sol_hi.yaml	hi	sol	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'tanimoto', 'probability': False}
configs/hi/sol/xgboost/xgb_sol_hi.yaml	hi	sol	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	average_precision	{'random_state': 42, 'n_jobs': -1}
configs/lo/drd2/decision_tree/dt_ecfp4_drd2_lo.yaml	lo	drd2	dt	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/drd2/decision_tree/dt_maccs_drd2_lo.yaml	lo	drd2	dt	maccs	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/drd2/dummy/dummy_drd2_lo.yaml	lo	drd2	dummy	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'strategy': 'mean'}
configs/lo/drd2/gradient_boosting/gb_drd2_lo.yaml	lo	drd2	gb	None	['maccs']	random	80	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/drd2/knn/knn_drd2_lo.yaml	lo	drd2	knn	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'algorithm': 'auto'}
configs/lo/drd2/lr/lr_drd2_lo.yaml	lo	drd2	linreg	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{}
configs/lo/drd2/random_forest/rf_drd2_lo.yaml	lo	drd2	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/drd2/svm/svr_linear_drd2_lo.yaml	lo	drd2	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'linear'}
configs/lo/drd2/svm/svr_poly_drd2_lo.yaml	lo	drd2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	random	50	2	neg_mean_absolute_error	{'kernel': 'poly'}
configs/lo/drd2/svm/svr_rbf_drd2_lo.yaml	lo	drd2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{'kernel': 'rbf'}
configs/lo/drd2/svm/svr_tanimoto_drd2_lo.yaml	lo	drd2	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'tanimoto'}
configs/lo/drd2/xgboost/xgb_drd2_lo.yaml	lo	drd2	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	neg_mean_absolute_error	{'random_state': 42, 'n_jobs': -1, 'objective': 'reg:squarederror'}
configs/lo/kcnh2/decision_tree/dt_ecfp4_kcnh2_lo.yaml	lo	kcnh2	dt	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kcnh2/decision_tree/dt_maccs_kcnh2_lo.yaml	lo	kcnh2	dt	maccs	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kcnh2/dummy/dummy_kcnh2_lo.yaml	lo	kcnh2	dummy	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'strategy': 'mean'}
configs/lo/kcnh2/gradient_boosting/gb_kcnh2_lo.yaml	lo	kcnh2	gb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	50	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kcnh2/knn/knn_kcnh2_lo.yaml	lo	kcnh2	knn	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'algorithm': 'auto'}
configs/lo/kcnh2/lr/lr_kcnh2_lo.yaml	lo	kcnh2	linreg	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{}
configs/lo/kcnh2/random_forest/rf_kcnh2_lo.yaml	lo	kcnh2	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kcnh2/svm/svr_linear_kcnh2_lo.yaml	lo	kcnh2	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'linear'}
configs/lo/kcnh2/svm/svr_poly_kcnh2_lo.yaml	lo	kcnh2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	random	50	2	neg_mean_absolute_error	{'kernel': 'poly'}
configs/lo/kcnh2/svm/svr_rbf_kcnh2_lo.yaml	lo	kcnh2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{'kernel': 'rbf'}
configs/lo/kcnh2/svm/svr_tanimoto_kcnh2_lo.yaml	lo	kcnh2	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'tanimoto'}
configs/lo/kcnh2/xgboost/xgb_kcnh2_lo.yaml	lo	kcnh2	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	neg_mean_absolute_error	{'random_state': 42, 'n_jobs': -1, 'objective': 'reg:squarederror'}
configs/lo/kdr/decision_tree/dt_ecfp4_kdr_lo.yaml	lo	kdr	dt	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kdr/decision_tree/dt_maccs_kdr_lo.yaml	lo	kdr	dt	maccs	None	grid	None	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kdr/dummy/dummy_kdr_lo.yaml	lo	kdr	dummy	ecfp4	None	grid	None	2	neg_mean_absolute_error	{'strategy': 'mean'}
configs/lo/kdr/gradient_boosting/gb_kdr_lo.yaml	lo	kdr	gb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	80	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kdr/knn/knn_kdr_lo.yaml	lo	kdr	knn	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'algorithm': 'auto'}
configs/lo/kdr/lr/lr_kdr_lo.yaml	lo	kdr	linreg	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{}
configs/lo/kdr/random_forest/rf_kdr_lo.yaml	lo	kdr	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	neg_mean_absolute_error	{'random_state': 42}
configs/lo/kdr/svm/svr_linear_kdr_lo.yaml	lo	kdr	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'linear'}
configs/lo/kdr/svm/svr_poly_kdr_lo.yaml	lo	kdr	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	random	50	2	neg_mean_absolute_error	{'kernel': 'poly'}
configs/lo/kdr/svm/svr_rbf_kdr_lo.yaml	lo	kdr	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	neg_mean_absolute_error	{'kernel': 'rbf'}
configs/lo/kdr/svm/svr_tanimoto_kdr_lo.yaml	lo	kdr	svm	None	['ecfp4', 'maccs']	grid	None	2	neg_mean_absolute_error	{'kernel': 'tanimoto'}
configs/lo/kdr/xgboost/xgb_kdr_lo.yaml	lo	kdr	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	neg_mean_absolute_error	{'random_state': 42, 'n_jobs': -1, 'objective': 'reg:squarederror'}
