dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero_raw_importance,n_positive_importance,n_negative_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,dataset_order,model_order,fingerprint_order,protocol_order
drd2,Logistic Regression,LR,ECFP4,Random shuffle,2,1024,1022,1022,0,0.9999999999999534,0.9999999999999534,0.0355789077529265,0.035579,0.0655979080238105,0.065598,0.14600448992518722,0.146004,0.2584420764237716,0.258442,0.3565951300241078,0.356595,0.44334260423512717,0.443343,0,1,0,1
drd2,Logistic Regression,LR,ECFP4,Random shuffle,3,1024,1020,1020,0,0.999999999999955,0.999999999999955,0.0426359487023605,0.042636,0.0785567786882082,0.078557,0.16655617426688277,0.166556,0.28542351269002314,0.285424,0.3859807291565437,0.385981,0.47384173696982923,0.473842,0,1,0,1
drd2,Linear SVM,SVM,ECFP4,OOD holdout,1,1024,990,990,0,0.999999999999954,0.999999999999954,0.04033341166759791,0.040333,0.0712461931462697,0.071246,0.1520556934463318,0.152056,0.26460589672835827,0.264606,0.35961521030345306,0.359615,0.4434570459027327,0.443457,0,2,0,0
drd2,Linear SVM,SVM,ECFP4,OOD holdout,2,1024,1017,1017,0,0.9999999999999536,0.9999999999999536,0.0440122426385174,0.044012,0.0801159194893974,0.080116,0.17126010662603033,0.17126,0.2916049048292436,0.291605,0.3928645845924741,0.392865,0.48020264499202703,0.480203,0,2,0,0
drd2,Linear SVM,SVM,ECFP4,OOD holdout,3,1024,992,992,0,0.9999999999999527,0.9999999999999527,0.06212702048189689,0.062127,0.1086326118019833,0.108633,0.2113629032309983,0.211363,0.3438213086220602,0.343821,0.4456948307866053,0.445695,0.5311113359202041,0.531111,0,2,0,0
drd2,Linear SVM,SVM,ECFP4,Random shuffle,1,1024,1005,1005,0,0.9999999999999526,0.9999999999999526,0.038284097902973,0.038284,0.0709183105748858,0.070918,0.1540892711257895,0.154089,0.265849605505889,0.26585,0.3620794790878199,0.362079,0.4473527049168452,0.447353,0,2,0,1
drd2,Linear SVM,SVM,ECFP4,Random shuffle,2,1024,1007,1007,0,0.999999999999954,0.999999999999954,0.0369902561827023,0.03699,0.0668544123515505,0.066854,0.14535595826588651,0.145356,0.25857737652596846,0.258577,0.3585248184275829,0.358525,0.4451052005411089,0.445105,0,2,0,1
drd2,Linear SVM,SVM,ECFP4,Random shuffle,3,1024,1004,1004,0,0.9999999999999549,0.9999999999999549,0.03737766999148089,0.037378,0.0697832518535257,0.069783,0.1508995738842977,0.1509,0.26389817673426547,0.263898,0.3607889239680799,0.360789,0.44455656714156133,0.444557,0,2,0,1
hiv,Decision Tree,DT,ECFP4,OOD holdout,1,1024,26,12,14,0.006044465475221595,0.014731585401303026,0.014617827112458,0.992278,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,1,0,0,0
hiv,Decision Tree,DT,ECFP4,OOD holdout,2,1024,106,46,60,0.04380606003082617,0.0742367599043573,0.0620452940483466,0.835776,0.06949395459915882,0.936112,0.0742367599043573,1.0,0.0742367599043573,1.0,0.0742367599043573,1.0,0.0742367599043573,1.0,1,0,0,0
hiv,Decision Tree,DT,ECFP4,OOD holdout,3,1024,263,113,150,-0.005161982194248651,0.006887740843954418,0.0037372717123418,0.542598,0.005364051786466199,0.778782,0.006623395222366122,0.961621,0.006877865756329646,0.998566,0.0068877408439544175,1.0,0.0068877408439544175,1.0,1,0,0,0
hiv,Decision Tree,DT,ECFP4,Random shuffle,1,1024,26,12,14,0.006044465475221595,0.014731585401303026,0.014617827112458,0.992278,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,0.014731585401303026,1.0,1,0,0,1
hiv,Decision Tree,DT,ECFP4,Random shuffle,2,1024,86,54,32,0.16013585371115496,0.1870918025609919,0.1399078948652408,0.747803,0.1682466941612876,0.899273,0.1868354136726346,0.99863,0.1870918025609919,1.0,0.1870918025609919,1.0,0.1870918025609919,1.0,1,0,0,1
hiv,Decision Tree,DT,ECFP4,Random shuffle,3,1024,68,36,32,0.0096588218041122,0.018188736455509953,0.0154442734252367,0.849112,0.017791662409707823,0.978169,0.018188736455509953,1.0,0.018188736455509953,1.0,0.018188736455509953,1.0,0.018188736455509953,1.0,1,0,0,1
hiv,Logistic Regression,LR,ECFP4,OOD holdout,1,1024,335,335,0,0.9999999999999843,0.9999999999999843,0.1335336144177521,0.133534,0.22181060012093398,0.221811,0.4127459263446666,0.412746,0.6338274539712795,0.633827,0.7905876226401971,0.790588,0.8961712254888328,0.896171,1,1,0,0
hiv,Logistic Regression,LR,ECFP4,OOD holdout,2,1024,1008,1008,0,0.9999999999999578,0.9999999999999578,0.057449626526027704,0.05745,0.102077653055231,0.102078,0.2144801472331076,0.21448,0.35440408149297736,0.354404,0.4660774260941176,0.466077,0.5571382083490037,0.557138,1,1,0,0
hiv,Logistic Regression,LR,ECFP4,OOD holdout,3,1024,984,984,0,0.9999999999999613,0.9999999999999613,0.0737030692861512,0.073703,0.12736353636215308,0.127364,0.25556299166721447,0.255563,0.4148408961050057,0.414841,0.5386788351768615,0.538679,0.6379556827457284,0.637956,1,1,0,0
hiv,Logistic Regression,LR,ECFP4,Random shuffle,1,1024,1024,1024,0,0.9999999999999531,0.9999999999999531,0.0465151165299857,0.046515,0.07952182423134589,0.079522,0.157821327767802,0.157821,0.2663063663575318,0.266306,0.35912380326586846,0.359124,0.44101252708668737,0.441013,1,1,0,1
hiv,Logistic Regression,LR,ECFP4,Random shuffle,2,1024,1024,1024,0,0.9999999999999525,0.9999999999999525,0.047149491492446294,0.047149,0.0852764201661142,0.085276,0.1739612068884348,0.173961,0.285967351306241,0.285967,0.3781548788646933,0.378155,0.4582495987808142,0.45825,1,1,0,1
hiv,Logistic Regression,LR,ECFP4,Random shuffle,3,1024,774,774,0,0.9999999999999631,0.9999999999999631,0.0529241944600827,0.052924,0.0966075563502549,0.096608,0.2036947591877469,0.203695,0.3385610903340642,0.338561,0.45010568030165776,0.450106,0.5467653745698697,0.546765,1,1,0,1
hiv,Linear SVM,SVM,ECFP4,OOD holdout,1,1024,1024,1024,0,0.9999999999999507,0.9999999999999507,0.0606476718921559,0.060648,0.0971214001794136,0.097121,0.1831012320727614,0.183101,0.29343531918650134,0.293435,0.3865224395399606,0.386522,0.46804158004436625,0.468042,1,2,0,0
hiv,Linear SVM,SVM,ECFP4,OOD holdout,2,1024,1024,1024,0,0.9999999999999507,0.9999999999999507,0.0376579974560639,0.037658,0.07018897385576081,0.070189,0.149646953518269,0.149647,0.25964793059621694,0.259648,0.35485605324870917,0.354856,0.43920007368369096,0.4392,1,2,0,0
hiv,Linear SVM,SVM,ECFP4,OOD holdout,3,1024,1024,1024,0,0.9999999999999534,0.9999999999999534,0.045860020074115,0.04586,0.0815955639893505,0.081596,0.1677355590517422,0.167736,0.27573608623250395,0.275736,0.366025994432704,0.366026,0.4460221960440076,0.446022,1,2,0,0
hiv,Linear SVM,SVM,ECFP4,Random shuffle,1,1024,1023,1023,0,0.9999999999999514,0.9999999999999514,0.060707440517700606,0.060707,0.09731810284157198,0.097318,0.1835856914204684,0.183586,0.2935719967680661,0.293572,0.38667679361154683,0.386677,0.4680082787616945,0.468008,1,2,0,1
hiv,Linear SVM,SVM,ECFP4,Random shuffle,2,1024,1024,1024,0,0.9999999999999523,0.9999999999999523,0.0590101861236823,0.05901,0.1023860149431345,0.102386,0.20163886316940008,0.201639,0.32065906660133126,0.320659,0.4144876529041022,0.414488,0.4929090642377385,0.492909,1,2,0,1
hiv,Linear SVM,SVM,ECFP4,Random shuffle,3,1024,1024,1024,0,0.9999999999999516,0.9999999999999516,0.0385327092349127,0.038533,0.06907483855278071,0.069075,0.14819405089670454,0.148194,0.2597166875089014,0.259717,0.3562625389609896,0.356263,0.4408732023079116,0.440873,1,2,0,1
sol,Decision Tree,DT,ECFP4,OOD holdout,1,1024,89,46,43,0.1545284079522286,0.21550062866367667,0.17706594005842133,0.821649,0.20374103609655791,0.945431,0.21550062866367667,1.0,0.21550062866367667,1.0,0.21550062866367667,1.0,0.21550062866367667,1.0,2,0,0,0
sol,Decision Tree,DT,ECFP4,OOD holdout,2,1024,31,23,8,0.1826709588648147,0.19395860975003648,0.1648695646099018,0.850024,0.1926732714706068,0.993373,0.19395860975003648,1.0,0.19395860975003648,1.0,0.19395860975003648,1.0,0.19395860975003648,1.0,2,0,0,0
sol,Decision Tree,DT,ECFP4,OOD holdout,3,1024,55,31,24,0.09840632266932041,0.1453303095077717,0.1223314792352198,0.841748,0.1412057661950736,0.97162,0.1453303095077717,1.0,0.1453303095077717,1.0,0.1453303095077717,1.0,0.1453303095077717,1.0,2,0,0,0
sol,Decision Tree,DT,ECFP4,Random shuffle,1,1024,67,42,25,0.2328946275224792,0.27527180393727013,0.19881106562571593,0.722235,0.24703164788095242,0.89741,0.27527180393727013,1.0,0.27527180393727013,1.0,0.27527180393727013,1.0,0.27527180393727013,1.0,2,0,0,1
sol,Decision Tree,DT,ECFP4,Random shuffle,2,1024,28,18,10,0.11154167864004522,0.13284362985071518,0.1249578153686009,0.940638,0.13284362985071518,1.0,0.13284362985071518,1.0,0.13284362985071518,1.0,0.13284362985071518,1.0,0.13284362985071518,1.0,2,0,0,1
sol,Decision Tree,DT,ECFP4,Random shuffle,3,1024,82,47,35,0.1616091026032607,0.21299790058038975,0.13947213388226548,0.654805,0.18586903707595798,0.872633,0.21299790058038975,1.0,0.21299790058038975,1.0,0.21299790058038975,1.0,0.21299790058038975,1.0,2,0,0,1
sol,Logistic Regression,LR,ECFP4,OOD holdout,1,1024,1024,1024,0,0.999999999999953,0.999999999999953,0.05092417747951371,0.050924,0.0903021225650337,0.090302,0.1833876742861576,0.183388,0.3043914526055903,0.304391,0.40119013524789027,0.40119,0.4832954915039795,0.483295,2,1,0,0
sol,Logistic Regression,LR,ECFP4,OOD holdout,2,1024,131,131,0,0.9999999999999937,0.9999999999999937,0.2267120619566069,0.226712,0.38265123709048016,0.382651,0.7023264782559694,0.702326,0.9552771388168193,0.955277,0.9999999999999936,1.0,0.9999999999999936,1.0,2,1,0,0
sol,Logistic Regression,LR,ECFP4,OOD holdout,3,1024,428,428,0,0.9999999999999796,0.9999999999999796,0.08271109930783081,0.082711,0.1496325442212568,0.149633,0.3054094174250659,0.305409,0.5100287370545195,0.510029,0.6674681342156812,0.667468,0.7881738132122525,0.788174,2,1,0,0
sol,Logistic Regression,LR,ECFP4,Random shuffle,1,1024,1024,1024,0,0.9999999999999521,0.9999999999999521,0.0509224663218465,0.050922,0.09029979973115211,0.0903,0.1833856260908678,0.183386,0.30438990763441315,0.30439,0.40119125936352457,0.401191,0.48329614940218457,0.483296,2,1,0,1
sol,Logistic Regression,LR,ECFP4,Random shuffle,2,1024,1024,1024,0,0.9999999999999529,0.9999999999999529,0.05158319156767859,0.051583,0.0914021641343475,0.091402,0.1838802671396257,0.18388,0.2997296098746051,0.29973,0.3927701939600588,0.39277,0.47093958452908213,0.47094,2,1,0,1
sol,Logistic Regression,LR,ECFP4,Random shuffle,3,1024,1023,1023,0,0.9999999999999531,0.9999999999999531,0.044356004751681694,0.044356,0.08076209632920361,0.080762,0.1740012145015348,0.174001,0.2933519291062894,0.293352,0.3889260693876781,0.388926,0.4716700719924669,0.47167,2,1,0,1
sol,Linear SVM,SVM,ECFP4,OOD holdout,1,1024,1024,1024,0,0.999999999999954,0.999999999999954,0.0527614057858323,0.052761,0.0928863753705107,0.092886,0.1875210803723372,0.187521,0.30862915736401275,0.308629,0.4075851569823207,0.407585,0.4891516391488797,0.489152,2,2,0,0
sol,Linear SVM,SVM,ECFP4,OOD holdout,2,1024,1024,1024,0,0.9999999999999533,0.9999999999999533,0.065922740430983,0.065923,0.11105427536799992,0.111054,0.21514395865749855,0.215144,0.34211560094714305,0.342116,0.43789862913209315,0.437899,0.5160566639633373,0.516057,2,2,0,0
sol,Linear SVM,SVM,ECFP4,OOD holdout,3,1024,1023,1023,0,0.9999999999999514,0.9999999999999514,0.0527432396553666,0.052743,0.0964478261012813,0.096448,0.2010836787654593,0.201084,0.3278505510590967,0.327851,0.4260532195130511,0.426053,0.5079372401737796,0.507937,2,2,0,0
sol,Linear SVM,SVM,ECFP4,Random shuffle,1,1024,1024,1024,0,0.9999999999999537,0.9999999999999537,0.052762074109017204,0.052762,0.0928893087153081,0.092889,0.18752162108572779,0.187522,0.3086348422364268,0.308635,0.4075992254591012,0.407599,0.4891614388446677,0.489161,2,2,0,1
sol,Linear SVM,SVM,ECFP4,Random shuffle,2,1024,1023,1023,0,0.9999999999999528,0.9999999999999528,0.0536460544990899,0.053646,0.09241371679785453,0.092414,0.18515131123516462,0.185151,0.30385033842618536,0.30385,0.39995175281684303,0.399952,0.4816885529038811,0.481689,2,2,0,1
sol,Linear SVM,SVM,ECFP4,Random shuffle,3,1024,1023,1023,0,0.9999999999999536,0.9999999999999536,0.052738234839303094,0.052738,0.0964415339602129,0.096442,0.20107662502227092,0.201077,0.32784263462721674,0.327843,0.4260455650812231,0.426046,0.5079236261679745,0.507924,2,2,0,1
